AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CompletionPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,ExtraPointsHadBlocked,FieldGoalAttempts,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsHadBlocked,FieldGoalsMade,FirstDowns,FirstDownsByPassing,FirstDownsByPenalty,FirstDownsByRushing,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesRecovered,Games,Giveaways,GlobalTeamID,GoalToGoAttempts,GoalToGoConversions,GoalToGoPercentage,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,InterceptionReturns,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturns,KickoffTouchbacks,Kickoffs,KickoffsInEndZone,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,OpponentAssistedTackles,OpponentBlockedKickReturnTouchdowns,OpponentBlockedKickReturnYards,OpponentBlockedKicks,OpponentCompletionPercentage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentExtraPointsHadBlocked,OpponentFieldGoalAttempts,OpponentFieldGoalReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalsHadBlocked,OpponentFieldGoalsMade,OpponentFirstDowns,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentFirstDownsByRushing,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentFumbleReturnTouchdowns,OpponentFumbleReturnYards,OpponentFumbles,OpponentFumblesForced,OpponentFumblesLost,OpponentFumblesRecovered,OpponentGiveaways,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentGoalToGoPercentage,OpponentInterceptionReturnTouchdowns,OpponentInterceptionReturnYards,OpponentInterceptionReturns,OpponentKickReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnYards,OpponentKickReturns,OpponentKickoffTouchbacks,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentPasserRating,OpponentPassesDefended,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingDropbacks,OpponentPassingInterceptions,OpponentPassingTouchdowns,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPenalties,OpponentPenaltyYards,OpponentPuntAverage,OpponentPuntNetAverage,OpponentPuntNetYards,OpponentPuntReturnLong,OpponentPuntReturnTouchdowns,OpponentPuntReturnYards,OpponentPuntReturns,OpponentPuntYards,OpponentPunts,OpponentPuntsHadBlocked,OpponentQuarterbackHits,OpponentQuarterbackHitsDifferential,OpponentQuarterbackHitsPercentage,OpponentQuarterbackSacksDifferential,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentRedZonePercentage,OpponentReturnYards,OpponentRushingAttempts,OpponentRushingTouchdowns,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentSackYards,OpponentSacks,OpponentSafeties,OpponentScore,OpponentScoreOvertime,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentSoloTackles,OpponentTacklesForLoss,OpponentTacklesForLossDifferential,OpponentTacklesForLossPercentage,OpponentTakeaways,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentTimeOfPossession,OpponentTimesSacked,OpponentTimesSackedPercentage,OpponentTimesSackedYards,OpponentTouchdowns,OpponentTurnoverDifferential,OpponentTwoPointConversionReturns,OverUnder,PasserRating,PassesDefended,PassingAttempts,PassingCompletions,PassingDropbacks,PassingInterceptions,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Penalties,PenaltyYards,PointSpread,PuntAverage,PuntNetAverage,PuntNetYards,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturns,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,QuarterbackHitsDifferential,QuarterbackHitsPercentage,QuarterbackSacksDifferential,RedZoneAttempts,RedZoneConversions,RedZonePercentage,ReturnYards,RushingAttempts,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,Score,ScoreOvertime,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,Season,SeasonType,SoloTackles,TacklesForLoss,TacklesForLossDifferential,TacklesForLossPercentage,Takeaways,Team,TeamID,TeamName,TeamSeasonID,TeamStatID,Temperature,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,TimeOfPossession,TimesSacked,TimesSackedPercentage,TimesSackedYards,TotalScore,Touchdowns,TurnoverDifferential,TwoPointConversionReturns,WindSpeed,_id
274,0,0,0,51.5,28,27,4,2,0,0,0,28,0,0,1,25,252,142,23,88,16,10,52.3,0,22,4,16,4,6,16,14,1,0,0,0,51,0,66,5,31,0,614,29,36,67,51,804,4395,3.6,227,1,0,1,56.3,40,39,1,0,0,0,0,26,0,0,0,22,302,195,31,76,11,2,17.2,1,3,6,2,6,4,14,0,0,0,1,105,8,42,0,597,29,43,73,58,868,5171,3.9,86.8,55,483,338,515,5,31,3626,4.8,6.9,92,837,35,-0.2,-14,68,1,228,28,2028,47,0,55,-23,7.3,6,50,30,48,337,353,6,1545,2.8,242,39,0,442,3,64,159,79,137,555,73,-20,18.5,14,172,80,37.5,33:56,32,4,221,42,1,0,38,68.1,45,445,285,486,8,16,2796,4.1,6.3,97,769,3.6,38.4,-0.3,-20,23,0,135,19,2644,55,0,78,23,12.1,-8,43,19,36.4,223,318,14,1600,3.2,221,32,0,361,3,77,95,67,119,2019,1,624,93,20,21.2,14,ARI,1,Cardinals,191000001,191000001,52,158,57,28.9,28:41,40,8.3,257,803,31,-1,0,3,6432fb88f00e0b1fe4724c9c
141,0,0,0,32,22,21,1,0,0,0,0,14,0,0,0,11,181,100,16,65,12,4,32.3,0,16,2,3,2,2,16,5,1,0,0,0,28,0,61,2,26,0,249,11,19,41,30,514,2923,1.3,145,0,0,0,30.4,18,17,1,0,0,0,0,14,0,0,0,12,172,98,18,56,5,3,31.7,0,16,2,4,2,2,5,0,0,0,0,109,3,25,0,425,22,26,38,32,501,2675,1.2,42.3,29,271,173,294,2,12,1721,1.4,2.2,49,399,21.8,0,-4,28,0,95,10,1418,31,0,26,-24,2,-9,27,14,24.6,220,207,3,954,1,86,14,0,367,0,72,128,70,97,357,44,-5,4.3,5,96,38,18.8,32:33,23,1.8,155,20,0,0,24,44.1,27,273,184,287,3,13,1860,1.5,2.3,54,412,-0.9,21.3,-0.1,-5,11,0,65,12,1235,28,0,50,24,3.8,4,28,18,31.1,142,228,10,1063,1.1,156,23,0,410,3,98,109,90,110,2020,1,353,48,2,11.1,5,ARI,1,Cardinals,201000001,201000001,31,96,38,18.8,29:04,14,4.8,88,777,23,0,0,1,6432fb88f00e0b1fe4724c9f
136,0,0,0,26.7,19,18,1,0,0,0,0,14,0,0,0,11,139,81,4,48,11,2,22.3,0,14,1,3,1,2,17,2,1,0,0,0,21,0,93,2,12,0,232,11,28,37,32,428,2414,0.8,149,0,0,0,24.9,15,13,1,0,0,0,0,11,0,41,0,3,128,73,13,41,11,2,17.7,0,0,2,1,2,1,10,0,0,0,0,87,2,13,0,160,3,18,30,24,391,2127,0.8,34.9,23,213,139,229,2,11,1385,0.9,1.4,38,340,17.8,0.3,53,10,0,101,11,1031,22,0,25,-13,1.5,-1,19,12,23.1,230,162,1,742,0.7,130,15,0,366,0,60,133,87,86,296,29,0,2.2,2,79,30,14.5,29:45,16,1,86,16,-5,0,18.5,37.3,28,225,158,239,2,10,1625,1,1.5,43,376,-1.3,18.5,0.4,59,18,0,90,4,965,20,0,38,13,2.4,0,25,15,22.8,197,188,3,789,0.6,86,15,0,449,0,106,123,128,92,2021,1,267,29,0,2.6,10,ARI,1,Cardinals,211000001,211000001,24,84,38,17.2,31:15,15,6.2,130,815,20,2,0,1,6432fb88f00e0b1fe4724ca7
121,0,0,0,24.1,19,19,1,0,0,0,0,12,0,0,0,11,151,90,11,51,3,2,19,0,2,1,2,1,2,17,3,4,0,0,0,25,0,90,3,28,0,300,13,21,38,29,434,2467,0.8,149,0,1,0,21.3,4,4,1,0,0,0,0,3,0,0,0,3,108,52,15,41,13,2,17.4,0,3,2,2,2,1,11,0,0,0,0,57,2,13,0,281,16,13,26,20,385,1762,0.7,24,29,201,113,217,3,2,1053,0.8,1.3,39,321,17.4,0.4,74,2,0,36,2,1290,28,0,36,0,2,-6,17,3,19.4,105,168,3,709,0.6,63,10,0,289,6,37,115,37,94,294,20,-14,1.6,3,81,25,11.7,29:34,16,1.1,105,12,-3,0,18,34.3,30,249,158,259,2,14,1628,0.9,1.5,43,372,-3.1,16.3,0.3,44,4,0,120,14,847,20,0,35,-1,2.3,2,29,18,23.7,217,175,3,839,0.7,101,16,0,483,0,102,123,107,151,2021,1,265,34,14,2.9,11,BUF,4,Bills,211000037,211000037,19,84,39,17.6,32:42,10,4,63,772,22,1,0,1,6432fb88f00e0b1fe4724cc9
139,0,0,0,32.7,28,27,0,0,0,0,0,16,0,0,0,13,189,114,18,57,2,2,38,0,13,2,3,2,2,16,10,4,0,0,0,24,0,87,3,28,0,473,17,34,48,41,491,3013,1.4,150,0,0,0,30.6,18,15,3,1,0,0,0,12,0,0,0,11,167,95,13,59,4,2,27.5,0,-1,2,3,2,3,12,0,0,0,0,66,2,17,0,255,14,18,37,28,487,2679,1.2,40.5,26,272,175,290,3,11,1770,1.5,2.3,41,346,21.8,0,0,19,0,66,4,1376,30,0,37,-9,2.8,-5,28,18,31.1,130,197,5,909,1,79,13,0,375,0,49,97,101,128,335,37,-9,4.2,10,91,36,18.9,28:15,18,1.4,104,21,-2,0,22.9,50.5,36,283,195,296,2,19,2194,1.8,2.5,48,447,-1.1,24.1,0,0,40,0,176,15,989,19,0,46,4,3.5,2,32,20,29.4,276,195,4,818,0.9,104,18,0,501,0,90,175,92,144,2020,1,347,46,4,11,12,BUF,4,Bills,201000037,201000037,26,89,44,23.6,32:45,13,4.3,79,876,28,1,0,1,6432fb88f00e0b1fe4724cd1
245,0,0,1,46.9,26,24,3,1,1,1,1,23,0,0,0,18,252,130,26,96,14,5,35.7,0,41,5,14,5,6,16,15,4,0,0,0,48,0,47,11,53,1,645,26,35,60,48,818,4248,3.4,228,1,7,1,50.6,20,17,5,2,1,1,0,21,0,0,1,13,237,136,27,75,17,5,30.6,0,3,6,14,6,5,18,0,0,0,1,128,8,81,1,556,24,24,51,39,792,3837,3.1,61.5,49,445,280,480,11,12,2511,3.6,5.8,76,655,35.9,0,0,48,0,126,14,3016,68,0,74,-3,13.3,-3,35,19,44.9,266,312,8,1326,2.7,199,32,1,259,0,52,61,66,80,590,80,-14,17.1,15,170,61,28.8,30:01,35,4.8,240,24,-3,0,32.7,64.9,66,412,240,445,8,17,2596,4.1,7,94,745,-0.5,33.7,0,0,18,0,195,26,2664,64,0,77,3,12.9,3,35,20,45.7,284,374,10,1651,2.8,248,35,1,314,0,43,107,55,109,2019,1,563,94,14,24.3,18,BUF,4,Bills,191000037,191000037,43,170,61,28.8,30:59,32,7.2,199,573,28,3,0,5,6432fb88f00e0b1fe4724cd5
154,0,1,0,22.1,11,4,1,0,0,0,0,11,0,0,0,4,122,66,11,45,13,2,15.7,0,30,1,2,1,1,17,11,5,0,0,0,21,0,39,1,15,0,236,11,17,28,22,420,1931,0.7,162,0,0,0,24.9,13,12,2,0,0,0,0,14,0,0,0,12,118,65,11,43,3,2,21.7,0,3,1,1,1,2,2,0,0,0,0,118,3,17,0,292,11,22,35,28,391,1976,0.7,35.2,35,196,128,211,1,4,1241,0.9,1.4,41,340,17.4,0.5,95,3,0,96,13,1291,28,0,41,2,2.4,2,20,13,25.6,223,180,2,735,0.6,127,20,0,404,6,43,130,111,114,264,36,2,3,11,82,31,14.4,30:31,15,1,111,17,2,0,16.6,25.2,20,228,132,247,3,2,1231,0.8,1.3,41,328,0.3,16.6,0.2,44,3,0,81,3,1210,28,0,36,-6,2.5,-5,18,4,20.2,151,173,2,700,0.6,113,15,0,304,0,95,87,35,87,2021,1,262,32,-5,2.5,2,CAR,5,Panthers,211000005,211000005,24,89,32,13.6,31:44,20,8,127,708,12,-5,0,1,6432fb88f00e0b1fe4724cee
253,0,0,1,48.5,28,25,3,0,1,1,1,26,0,0,1,20,269,185,18,66,19,8,40.2,1,56,11,5,11,5,16,28,5,0,0,0,43,0,113,11,29,0,544,25,53,61,56,866,4397,3.3,326,0,0,1,51.3,40,39,5,1,1,1,0,28,0,0,1,22,285,158,24,103,6,4,53.6,0,-1,5,14,5,10,17,0,0,0,1,162,17,26,0,82,3,53,80,66,838,4818,3.7,68.9,72,437,279,480,11,17,2972,4.4,6.9,88,756,37.2,-0.5,-31,68,2,392,32,2492,54,0,83,-6,12,3,51,33,51.5,553,358,25,1846,3.4,389,47,0,470,0,109,130,128,103,536,80,3,20.6,28,155,62,32.1,31:05,43,5.8,242,45,11,0,36.7,57.5,54,509,307,556,17,14,2935,3.7,6.2,70,606,1.1,37,-0.2,-17,31,0,137,20,2775,60,0,89,5,15,-4,40,23,46.6,307,310,16,1462,3,241,43,1,340,0,60,96,83,101,2019,1,556,76,-3,17.1,17,CAR,5,Panthers,191000005,191000005,48,166,53,25.6,29:55,47,8.4,389,810,31,-11,0,5,6432fb88f00e0b1fe4724cfe
183,0,0,0,25,11,11,0,0,0,0,0,11,0,0,0,10,116,74,13,28,3,1,15.8,0,15,2,2,2,1,17,4,2,0,0,0,22,0,77,2,14,0,380,17,13,27,20,382,1962,0.7,171,0,0,0,25.8,17,15,2,0,0,0,0,11,0,0,0,4,146,81,4,54,3,2,19,0,1,1,3,1,2,3,0,0,0,0,45,2,38,0,308,13,19,37,28,423,2354,0.8,36.6,32,219,149,226,2,12,1502,1,1.5,45,363,17.8,0.5,69,4,0,89,4,944,20,0,50,28,3.1,3,26,17,24.2,137,197,3,852,0.6,104,15,0,459,0,84,134,96,145,245,25,1,2.4,4,82,40,18.4,32:50,3,0.4,58,21,1,0,17.7,32.2,29,218,143,233,2,3,1411,0.9,1.4,35,286,0.5,17.5,0.6,96,3,0,72,3,1139,25,0,22,-28,1.4,-8,21,11,20.4,164,149,2,551,0.5,56,2,0,313,0,54,131,58,70,2021,1,276,22,-3,1.6,3,ATL,2,Falcons,211000002,211000002,23,80,31,14.8,28:10,15,6.5,104,772,13,-2,0,1,6432fb88f00e0b1fe4724d03
194,0,0,0,32.2,17,16,1,0,0,0,0,17,0,0,0,14,159,91,16,52,13,3,26.4,1,61,1,3,1,3,16,5,5,0,0,0,21,0,52,2,47,0,349,14,34,38,37,472,2656,1.3,172,0,0,0,32.3,20,18,1,0,0,0,0,15,0,0,0,14,171,100,17,54,2,1,28.5,0,28,3,2,3,1,10,0,0,0,0,55,4,14,0,68,2,27,42,34,485,2736,1.3,46.1,33,278,189,292,2,13,1817,1.5,2.2,40,339,20.8,0.2,19,39,0,87,4,1061,24,0,38,-6,3,2,27,17,30,170,194,4,920,1.1,112,17,0,402,0,85,117,80,120,311,44,5,10.7,5,95,47,23.4,29:01,14,1.1,95,22,0,0,23,40.7,28,261,177,278,4,4,1847,1.6,2.3,45,357,0.8,22,0.4,37,5,0,56,5,989,21,0,43,3,3.3,-3,27,14,24.2,169,193,4,809,0.9,95,14,0,350,0,89,107,58,96,2020,1,285,34,-10,4,10,CAR,5,Panthers,201000005,201000005,28,93,36,18.5,31:59,17,6.1,114,752,18,0,0,2,6432fb88f00e0b1fe4724d0a
